"_id","Commune","Date_debut","Date_fin","Departement","id","Lambert_X","Lambert_Y","Nom_du_site","Periodes","Region","Themes","Type_intervention"
"608ab356aa2e0000950006b1","Beausite","01/09/2001","12/08/2002","Meuse","29","860500","6876400","La Hachie","#Néolithique#Protohistoire#Antiquité#Moyen Âge","Lorraine",,"fouille"
"608ab356aa2e0000950006b2","Les Trois-Domaines","10/09/2001","15/08/2002","Meuse","30","864765,147","6877794,702","La Hachie","#Néolithique#Protohistoire#Antiquité#Moyen Âge","Lorraine","#Habitats, architecture, édifices","fouille"
"608ab356aa2e0000950006b3","Lesménils","15/05/2002","15/08/2002","Meurthe-et-Moselle","31","927300","6874900","Notre Dame - Chêne Brûlé","#Antiquité","Lorraine","#Échange et transport#Habitats, architecture, édifices","fouille"
"608ab356aa2e0000950006b4","Criquebeuf-sur-Seine","16/07/2002","15/08/2002","Eure","32","561975","6911433","Les Brûlins","#Protohistoire","Haute-Normandie",,"fouille"
"608ab356aa2e0000950006b5","Montierchaume","08/07/2002","28/08/2002","Indre","33","603689","6640002","La Fleuranderie","#Protohistoire#Antiquité#Autres périodes","Centre",,"fouille"
"608ab356aa2e0000950006b6","Lacroix-sur-Meuse","24/06/2002","30/08/2002","Meuse","34","883800","6877800","La Finotte","#Néolithique#Protohistoire","Lorraine","#Habitats, architecture, édifices","fouille"
"608ab356aa2e0000950006b7","Lacroix-sur-Meuse","24/06/2002","31/08/2002","Meuse","35","884100","6878100","Les Battants","#Protohistoire#Antiquité","Lorraine","#Cultes et pratiques funéraires#Échange et transport","fouille"
"608ab356aa2e0000950006b8","Issoudun","20/05/2002","06/09/2002","Indre","36","623669","6650417","Centre de l'image et du multimédia","#Moyen Âge#Moderne, Contemporain","Centre",,"fouille"
"608ab356aa2e0000950006b9","Naves","13/05/2002","27/09/2002","Corrèze","37","602730","6471186","Les Arènes de Tintignac - fouille 2002","#Protohistoire#Antiquité","Limousin",,"fouille"
"608ab356aa2e0000950006ba","Angoulême","15/04/2002","30/09/2002","Charente","38","478011,652","6509980,464","Abbaye Saint-Cybard","#Moyen Âge#Moderne, Contemporain","Poitou-Charentes",,"fouille"
"608ab356aa2e0000950006bb","Perthes","15/04/2002","30/09/2002","Haute-Marne","39","831940","6841530","La Pièce des Essarts","#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","Champagne-Ardenne",,"fouille"
"608ab356aa2e0000950006bc","Fresnoy-au-Val","02/05/2002","30/09/2002","Somme","40","632528,616","6970372,288","La Trannoye","#Néolithique","Picardie",,"fouille"
